Title,Authors,Description,Rating,Rating Count,Review Count,Pages,Genres,Recommendations
7070,4647,2407,4.395328587986318,6717635.002261638,176053.93678200827,459,9036,2571
2807,2004,8260,4.496246199290733,2668408.9572526845,45724.06391389874,960,1560,3413
8694,1777,8163,4.321523122214873,4772917.930816565,95595.02925075027,403,699,7091
4838,2148,1424,4.350895135498448,3206069.733251797,74019.8417237538,352,734,3859
8815,4590,1144,3.591100192289024,5231000.174670701,107618.96223330544,603,8827,7188
6168,3292,5246,4.394674002193702,1954165.0584761973,117306.9566319818,659,4863,1218
567,1627,3447,4.046675387554243,2926887.938045427,61573.975262460495,99,637,7092
6331,689,5205,4.264231942894737,548648.8745081521,10742.909023438568,876,1633,3850
3316,2015,8454,4.604830760985326,115026.99264554631,1863.0272023098944,208,1850,6572
2672,3206,6673,4.260342538201069,1106466.1045677278,20591.092445091246,21,464,5718
6732,2417,2548,4.5165256210843,3804111.8010774464,158602.94133487574,391,8919,7190
6874,4452,327,4.208637923312475,952487.1160013492,18661.946519414792,755,214,9038
9307,1347,9584,3.7967867928203143,1416227.9202724595,40571.03255415715,563,641,3858
6466,1008,3898,3.851705636137885,2019590.9841705277,48458.00735234753,590,3371,3422
4016,429,846,4.060674014774072,1774613.9237808953,31117.083620426623,528,3219,7137
7684,3786,9558,4.130036126069729,1042299.9914075618,34643.046002978015,343,594,9200
421,2982,266,4.198989635228515,481790.1152565748,11354.987463089654,298,453,1184
3336,831,6196,4.071476765935517,1707384.9128546696,45473.996552868426,638,682,5312
3640,4938,5236,4.322075805427903,705499.8688996885,18362.09430989932,158,480,7396
1824,4931,4033,4.216861637658131,3087912.8577622464,109937.87358183216,588,8918,7189
5131,5087,4097,3.707886955732379,2143924.0080224173,20649.894575229697,378,6661,4989
3787,5054,1849,3.799124690435629,2372743.9636091315,40150.96113923939,223,589,1332
5981,3881,6278,3.9887177258318367,2259665.009125233,86344.8373108455,242,3330,7393
1488,1549,6459,4.216444245636464,670844.9568818867,21256.0437193031,789,485,7505
7021,1203,6690,4.319378450022656,1518914.9604357998,32275.96577365078,270,7798,197
7674,4560,9655,4.196952753785717,1325687.048963568,60917.97209453598,267,8741,4301
2068,3778,1654,4.223954268206934,1183035.0433979474,44194.04476940997,403,7799,581
6940,1451,1379,3.8087147425410777,3998621.015907748,72118.24353665697,246,696,8561
1341,748,9253,4.00209515562187,1701688.989994425,64436.9426247777,586,8767,2059
6994,2730,5253,4.65598086825248,2275253.062499283,85638.04482845395,563,3263,8965
582,2880,8461,4.186466763056049,778789.9712405384,25323.05084801833,399,468,7975
1275,1220,8388,3.9944901922258578,1499257.9812636003,19130.09312311367,225,815,9040
8267,456,785,4.105702717290378,1624253.0376848842,48090.216107052736,602,3217,7441
4479,2451,1621,3.775197398977423,2037187.845467511,36565.85959567917,18,585,8562
7308,382,621,4.357223455683874,1494362.0558551652,43651.92469624084,1001,473,1331
